post_id,headline,subheadline,cta
1,"O seu CPL de R$ 2,00 está custando muito caro.","No B2B, leads baratos costumam ser o caminho mais rápido para o desperdício de caixa operacional.","luqz.com.br"
2,"Você não precisa de uma agência. Você precisa de engenharia.","No High-Ticket, apertar botões no Meta Ads é o último passo da estratégia, não o primeiro.","luqz.com.br"
3,"Tráfego Cego vs. Demanda Preditiva.","Um atrai qualquer um. O outro constrói fluxo de caixa previsível.","luqz.com.br"
4,"Leads curiosos são um erro de design.","Conteúdo genérico atrai o público errado. O conteúdo certo repele quem não pode pagar o seu ticket.","luqz.com.br"
5,"A Arquitetura de Performance 360.","1. Conteúdo | 2. Audiência | 3. Tráfego | 4. Comercial.","luqz.com.br"
6,"Onde os contratos são realmente assinados.","Do anúncio à cadência de follow-up. Sua inteligência de dados deve morar no CRM.","luqz.com.br"
7,"Sua comunicação está falando com adultos?","Fuja do tom 'guru de internet'. No B2B Premium, autoridade se constrói com precisão técnica.","luqz.com.br"
8,"Previsibilidade Financeira é Engenharia.","Resultados sustentáveis nascem de processos testados, não de algoritmos.","luqz.com.br"
9,"IA e Escala de Roteiros.","Use a tecnologia para produzir conteúdo de elite em escala corporativa.","luqz.com.br"
10,"Arrumar sua jornada começa com um diagnóstico.","Sessão Estratégica para mapear seus gargalos operacionais da Semana 1 à 24.","luqz.com.br"
